,prompts,results
0,"('Ты эксперт по фонетической транскрипции текста на русском языке Принимай на вход текст и возвращай его на International Phonetic Alphabet', 'Фильмы сами себя не посмотрят, книжка сама себя не прочитает ')","[fʲɪlˈmɨ sɐˈmɨ sʲɪˈvɔɪ nʲɪ pɐˈskɐrət, knʲɪˈʐkə sɐˈmə sʲɪˈvɔɪ nʲɪ prɐˈtɕitət]"
1,"('Ты эксперт по фонетической транскрипции текста на русском языке Принимай на вход текст и возвращай его на International Phonetic AlphabetТекст: \n\nФильмы сами себя не посмотрят, книжка сама себя не прочитает \n\n', 'Фильмы сами себя не посмотрят, книжка сама себя не прочитает ')","Вот фонетическая транскрипция текста на Международный фонетический алфавит (IPA):

/fʲɪlˈmɨ sɐˈmʲi sʲɪˈvʲa nʲɪ pəskɐˈtrʲit, knʲiˈʐkə sɐˈmə sʲɪˈvʲa nʲɪ prɐˈtɕitət/"
2,"('Ты эксперт по фонетической транскрипции разметке текстов на русском языке Принимай на вход текст и возвращай его на International Phonetic AlphabetТекст: \n\nФильмы сами себя не посмотрят, книжка сама себя не прочитает \n\n', 'Фильмы сами себя не посмотрят, книжка сама себя не прочитает ')","Вот фонетическая транскрипция текста на Международный фонетический алфавит (IPA):

/fʲɪlˈmɨ sɐˈmʲi sʲɪˈvʲa nʲɪ pəsmɐˈtrʲit, knʲiˈʐkə sɐˈmə sʲɪˈvʲa nʲɪ prɐˈtɕitət/"
3,"('Ты эксперт по фонетической разметке текстов на русском языке Принимай на вход текст и возвращай его на International Phonetic Alphabet Текст: \n\nФильмы сами себя не посмотрят, книжка сама себя не прочитает\n\n', 'Фильмы сами себя не посмотрят, книжка сама себя не прочитает')","[fʲɪlˈmɨ sɐˈmɨ sʲɪˈvʲæ nʲɪ pɐˈskɐtrɨt, knʲɪˈʐkə sɐˈmə sʲɪˈvʲæ nʲɪ prɐˈtɕitət]"
4,"('Ты эксперт по фонетической разметке текстов на русском языке Принимай на вход текст и возвращай его транскрипцию на International Phonetic Alphabet Текст: \n\nФильмы сами себя не посмотрят, книжка сама себя не прочитает\n\n', 'Фильмы сами себя не посмотрят, книжка сама себя не прочитает')","[fʲɪlˈmɨ sɐˈmɨ sʲɪˈvʲæ nʲɪ pɐˈskɐtrət, knʲiˈʐkə sɐˈmə sʲɪˈvʲæ nʲɪ prɐˈtɕitət]"
5,"('Ты эксперт по фонетической разметке текстов на русском языке Принимай на вход текст и возвращай его транскрипцию на Международном фонетическом алфавите (IPA) Текст: \n\nФильмы сами себя не посмотрят, книжка сама себя не прочитает\n\n', 'Фильмы сами себя не посмотрят, книжка сама себя не прочитает')","[fʲɪlˈmɨ sɐˈmʲi sʲɪˈvʲa nʲɪ pɐˈskrəjət, knʲiˈʐkə sɐˈmə sʲɪˈvʲa nʲɪ prɐˈtɕitət]"
6,"('Ты эксперт по фонетической транскрипции текстов на русском языке Принимай на вход текст и возвращай его транскрипцию на Международном фонетическом алфавите (IPA) Текст: \n\nФильмы сами себя не посмотрят, книжка сама себя не прочитает\n\n', 'Фильмы сами себя не посмотрят, книжка сама себя не прочитает')","[fʲɪlˈmɨ sɐˈmɨ sʲɪˈvajə nʲɪ pəsmɐˈtrʲit, knʲiˈʐkə sɐˈmə sʲɪˈvajə nʲɪ prɐˈtɕitət]"
7,"('Ты эксперт по фонетической транскрипции текстов на русском языке', 'Разметь текст, используя Международный фонетическый алфавит (IPA) ')","Конечно, я помогу вам с фонетической транскрипцией текста на русском языке с использованием Международного фонетического алфавита (IPA). Пожалуйста, предоставьте текст, который вы хотите транскрибировать."
8,"('Ты эксперт по фонетической транскрипции текстов на русском языкеРазметь текст, используя Международный фонетическый алфавит (IPA)', 'Фильмы сами себя не посмотрят, книжка сама себя не прочитает')","[fʲɪlˈmɨ sɐˈmʲi sʲɪˈvɔɪ nʲɪ pɐˈskɐrət, knʲiˈʐkə sɐˈmə sʲɪˈvɔɪ nʲɪ prɐˈtɕitət]"
9,"('Ты эксперт по фонетической транскрипции текстов на русском языкеРазметь текст, используя Международный фонетическый алфавит (IPA)Ориентируйся на фонетические и фонологические правила для русского языка', 'Фильмы сами себя не посмотрят, книжка сама себя не прочитает')","[fʲɪlˈmɨ sɐˈmʲi sʲɪˈvɔɪ nʲɪ pɐˈskɐrət, knʲiˈʐkə sɐˈmə sʲɪˈvɔɪ nʲɪ prɐˈtɕitət]"
