,ID,text,IPA,audio,pauses
0,14fcc5df-c580-4464-b4e7-c41b22d7d347,"Домовые грибы — грибы отдела базидиомицеты, семейств афиллофоровых и кониофоровых грибов, характерным для которых являются разрушение древесины при её повышенной влажности преимущественно в условиях отапливаемых помещений.К домовым грибам относятся около 50 видов из 8 родов.",dɐˈmɔvʲɪɡ ɡrʲɪˈbɨ ɡrʲɪˈbɨ ɐˈpɐrtɐ ˌbɐzʲɪdʲɪˈomʲɪtsɨtɨ ˌsʲɛmʲɪˈjɛstə ˌafʲɪlʲɪˈfɔrəvɨx ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡrʲɪˈbɨv ɡr,,
1,0d4c8cd9-d33a-49ee-9a82-3bb49e3b227f,"Домра — русский, украинский и белорусский народный струнный щипковый музыкальный инструмент.Домра имеет корпус полусферической формы.Звук струн производится при помощи медиатора.","dɐmˈrɑ, rʊˈsʲkʲɪj, ukrɐˈjɪnʲskʲɪj, bʲeɫoˈrʊsʲskʲɪj, nɐˈrodnəj, stroōn̄skʲɪj, ʃɨpˈkɔvəj, muzykaˈlʲnəj, ɪnstɾuˈmɛnt. dɐmˈrɑ, ɪˈmɛt, kɔrˈpus, pəlʊsfʲɛˈrɪskʲɪj, fɐˈmə. zvʊk, stroōn̄, prɐˈvʲodʲɪtsja, pʲɪt, mʲɛdʲiˈaːtər.",,
2,3c308e71-741f-43ec-bebd-a90ed698639c,"Оноре Викторен Домье — французский художник-график, живописец и скульптор, крупнейший мастер политической карикатуры XIX века.Домье родился в Марселе в 1808 году в семье стекольщика.С детства увлекался рисованием, освоил мастерство литографа.",[ɔnɔʁe viktoʁɛ̃ dɔmje] [fʁɑ̃tsɥz ʃytiʃkɔ̃ɡʁafik lɛvɔpɥisɛk skylɛpˈtɔʁ kʁypljɛjsɛ mɛstɛʁ pɔlitiʃkə kəʁikətʃyʁə ɛksɛvɛktɛ] [dɔmje rɔdil və marse lɛ 1808 jœʁ vɛ sɛmflɛ stɛkɔlˈʃika] [sɛdɛtʃvɔ uvlɛɡləs rʲisovanʲjɛ oswɔv mɛstɛʁ lʲitɔɡrafə],,
3,7be7d8cc-dc3c-4ca0-8677-9cfb1db8fbb7,"Донателло — итальянский скульптор эпохи Возрождения флорентийской школы.Наряду с Леоном Баттистой Альберти, Филиппо Брунеллески и Мазаччо считается одним из основоположников нового ренессансного искусства, в частности ренессансной монументальной скульптуры и рельефа, а также жанра скульптурного портрета.","dənɐˈtɛlːo ɪtɐˈljanːɪskɪj sˈkulpˌtɔr ɛˈpoːɡɪ vɔzˈrɔːʒdʲɛnʲɪja fɫɔrɛnˈtɪjɪskaja ʃkola. nɐˈrʲatʊ s lʲeˈon bɐtˈtɪjstɐj ɐlˈbɛrtɪ, fʲɪlʲɪpˈpo brʊnɛlˈlɛskɪ i mɐˈzatsːko ɕtʲɪtʲɪtsja ɐˈdən ɪn ɐʊsənəpəˈloːʃnɪkəv nʲuːvə rɛnɛsˈsɑːntska jɪzʊrˈstva, v pərtɪkʊlʲarə rɛnɛsˈsɑːntskaj mɔnʊmɛnˈtəlʲaj sˈkulpˌtʊrə i rʲɛlʲɛfə, a ˈtʃɛlʲu жанра скульптурного портрета.",,
4,e8f1f7ae-adf8-4d6f-9264-cafe9fc8b1e7,"Донжон — главная башня в европейских феодальных замках.В отличие от башен на стенах замка, донжон находится внутри крепостных стен и обычно не связан с ними — это как бы крепость внутри крепости.","dɔ̃ˈʒɔ̃ ɡləvnaɪ̯ bɐˈʃɨn vʲu ɛvʁɔˈpɛj斯kʲɪx fʲɛɔ̃dəˈralʲskʲɪx zɐ̃ˈkɔf. vɐt lʲɪkʲitʲɪ ɔ̃t bɐˈʃɨn nɐ stʲɛnɐ̃x zɐ̃ˈkɔf, dɔ̃ˈʒɔ̃ ɐ̃tˈsɨdɨ ɪ̯n'tsɨ kʁɛpɔ̃stnɨx stɛn ɨbnu ɔ̃bli ɲɛ sɥɛ ɡʁɛ̃ sən — ɛt sə kʁɛpɔ̃st vɛ̃trɛ kʁɛpɔ̃st.",,
5,ffe50065-7191-490c-b9e4-e9358ad3e33f,"Дон Жуан — один из «вечных образов» литературы Нового времени: ненасытный обольститель женщин, родом из Испании.Его имя стало таким же нарицательным обозначением повесы и распутника, как имена Ловеласа и Казановы.","dɔn ˈʐu.an — ɐˈt͡sʲin ɪz ˈvʲɛt͡ɕɪx ɐˈbrɐz ɫʲitrɐˈtʊrɨ ˈnɔvɨx ˈvʲɛmʲɪ: nʲɪnɐˈsɨtɨ ɐˈbɔlʲsʲtʲɪtʲɛlʲ ˈfʲemʲɪn, ˈrɔdɐm ɪz ɪˈspʲænʲi.ɛ. ˈjɛvɐ ˈimʲɛnɐ ˈstɐl ɐˈt͡ɕɛm ˈnɐrʲɪtsɨˈlʲɛtʲɛm ɐˈbrɐzʲɛˈt͡ɕɛnʲɪɛ ˈpɐvʊtɐ ɪ ˈrɐsˌpʊtʲnɪka, ˈkɐk ˈjɪmʲɛnɐ ˈlɔvʲɛlɐsɐ ɪ ˈkɐzɐˈnɔvɐ.",,
6,24cf1d2e-8364-45c2-bcd5-8cab791e683a,"Доменико Гаэтано Мария Доницетти — итальянский оперный композитор, автор 68 опер.Вершины творчества композитора — оперы «Любовный напиток», «Лючия ди Ламмермур», «Фаворитка» и «Дон Паскуале».Родители Гаэтано Доницетти были бедные люди: отец — сторож, мать — ткачиха.",dəˈmɛːnʲiːko ɡaɪˈtɑːnɔ ˈmaːrja ˈdɔnɪtsetti itaˈljanɪskɪj oˈpɛrnɪj kɔmpɔˈzɪtɔr ˈavtɔr ˈsʲiɕ ˈopɛr ˈvɛršɪnɛ tvorˈtʃɛstva kɔmpɔˈzɪtɔr ˈopɛrɛ ˈlʲuːbɔvnyj nɐˈpʲitok ˈlʲutʃja di lɐmːɛrˈmʊr ˈfavɔrɪtka i ˈdɔn pɐˈskualɛ ˈrɔdʲitɛli ɡaɪˈtɑːnɔ ˈdɔnɪtsetti bɨli ˈbʲɛdnye lʲuˈdi ˈotɛts ˈstɔrɡ ˈmʲatʲ ˈtkatʃɪxa,,
7,337a8bdf-fbfc-4d19-bbd0-9a7857f51062,Каргополь — исторический город на левом берегу реки Онеги в Архангельской области Российской Федерации.Административный центр Каргопольского района и Каргопольского городского поселения.,kɐrɡɐˈpɔlʲjɪ ɪstɔˈriːtɕɪskʲɪj ɡorod nɐ lʲjɛvəm bʲɛrɡʲʊ rʲɪkʲɪ ˈonʲɪɡʲɪ v‿aɐkˈhæŋɡʲɪlʲskʲɪj əˈraːzʲɪɪ ˈroɕːɪskəjə fʲɛdərəˈtɕɪjskəjə. ədʲɪnɪˈstrətʲɪvʲɪnə tsɨnˈtər kɐrɡɐˈpɔlʲskəjə rɐjəˈnə ɪ kɐrɡɐˈpɔlʲskəjə ɡorədskəjə pəsʲɛlʲɛnʲɪjə.,,
8,5212028a-7f81-4895-ae52-e71bf362efe5,"Каргопольский уезд — административная единица, занимавшая юго-восточную часть Олонецкой губернии Российской империи.С 1919 по 1929 год входил в Вологодскую губернию.Уездный город Каргополь.",kɐrɡɐpəlʲskʲɪj uʲɪzʲd ədʲmʲɪnʲɪstrətʲɪvənəj jɪdʲnʲɪtsə zənʲɪmɐvʃə jʊɡo vʲɛstətɕnʊj tɕɛpьtʲ ələnʲɪtskəj jʊbʲɪrʲnʲɪj rɐzʲvʲɛjstvənəj ɪmʲpʲɪrɪj s 1919 pɐ 1929 ɡɔd vɐhʲɪdʲlʲɪn ɪn vələɡədskəj jʊbʲɪrʲnʲɪj uʲɪzʲdnyj ɡɔrəd kɐrɡɐpəlʲ.,,
9,524b25fd-0a91-400e-b2e1-13c7a1207057,"Кардинал, возглавляемую деканом.Исторически сложились три ранга кардиналов: кардиналы-дьяконы;
кардиналы-священники;
кардиналы-епископы.История кардиналов восходит к I веку н. э.","kɐrdʲɪnɐl, vɐzɡlʲavʲɪmʊju dʲekanɐm.ɪstɔrʲɪčeski slɐxlʲi tri rɐnɡa kɐrdʲɪnɐlʲɪf: kɐrdʲɪnɐli-dʲækɐnɨ; kɐrdʲɪnɐli-svʲæʃnʲɪnkɨ; kɐrdʲɪnɐli-jɪpʲɪskɨpɨ.ɪstɔrʲɪj kɐrdʲɪnɐlʲɪ vɐzɐsʲtɐ k I vʲeɡu n.ɛ.",,
